SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[8, 18, 14, 24]",4,4,"[8, 16, 16, 24]",64
"[24, 5, 30, 11]",4,4,"[24, 4, 32, 12]",64
"[13, 6, 19, 12]",4,4,"[12, 4, 20, 12]",64
"[11, 3, 17, 9]",2,2,"[8, 0, 24, 16]",256
"[2, 26, 8, 32]",4,4,"[0, 24, 8, 32]",64
"[22, 0, 28, 6]",4,4,"[20, 0, 28, 8]",64
"[16, 14, 22, 20]",4,4,"[16, 12, 24, 20]",64
"[24, 21, 30, 27]",4,4,"[24, 20, 32, 28]",64
"[6, 3, 12, 9]",3,3,"[4, 0, 12, 16]",128
"[15, 12, 21, 18]",2,2,"[8, 8, 24, 24]",256
"[8, 6, 14, 12]",4,4,"[8, 4, 16, 12]",64
"[20, 1, 26, 7]",4,4,"[20, 0, 28, 8]",64
"[25, 6, 31, 12]",4,4,"[24, 4, 32, 12]",64
"[19, 4, 25, 10]",2,2,"[16, 0, 32, 16]",256
"[3, 6, 9, 12]",2,2,"[0, 0, 16, 16]",256
"[14, 12, 20, 18]",4,4,"[12, 12, 20, 20]",64
"[11, 17, 17, 23]",2,2,"[8, 8, 24, 24]",256
"[26, 4, 32, 10]",4,4,"[24, 4, 32, 12]",64
"[3, 19, 9, 25]",2,2,"[0, 16, 16, 32]",256
"[15, 4, 21, 10]",2,2,"[8, 0, 24, 16]",256
"[18, 12, 24, 18]",4,4,"[16, 12, 24, 20]",64
"[20, 21, 26, 27]",4,4,"[20, 20, 28, 28]",64
"[13, 16, 19, 22]",4,4,"[12, 16, 20, 24]",64
"[15, 21, 21, 27]",2,2,"[8, 16, 24, 32]",256
"[10, 26, 16, 32]",4,4,"[8, 24, 16, 32]",64
"[15, 15, 21, 21]",2,2,"[8, 8, 24, 24]",256
"[20, 21, 26, 27]",4,4,"[20, 20, 28, 28]",64
"[6, 17, 12, 23]",4,4,"[4, 16, 12, 24]",64
"[19, 7, 25, 13]",2,2,"[16, 0, 32, 16]",256
"[0, 10, 6, 16]",4,4,"[0, 8, 8, 16]",64
"[22, 23, 28, 29]",3,3,"[20, 16, 28, 32]",128
"[10, 26, 16, 32]",4,4,"[8, 24, 16, 32]",64
"[10, 1, 16, 7]",4,4,"[8, 0, 16, 8]",64
"[16, 4, 22, 10]",4,4,"[16, 4, 24, 12]",64
"[8, 19, 14, 25]",3,3,"[8, 16, 16, 32]",128
"[25, 4, 31, 10]",4,4,"[24, 4, 32, 12]",64
"[26, 12, 32, 18]",4,4,"[24, 12, 32, 20]",64
"[18, 9, 24, 15]",4,4,"[16, 8, 24, 16]",64
"[22, 22, 28, 28]",4,4,"[20, 20, 28, 28]",64
"[25, 15, 31, 21]",3,3,"[24, 8, 32, 24]",128
"[2, 25, 8, 31]",4,4,"[0, 24, 8, 32]",64
"[2, 16, 8, 22]",4,4,"[0, 16, 8, 24]",64
"[1, 2, 7, 8]",4,4,"[0, 0, 8, 8]",64
"[7, 4, 13, 10]",2,2,"[0, 0, 16, 16]",256
"[1, 9, 7, 15]",4,4,"[0, 8, 8, 16]",64
"[0, 24, 6, 30]",4,4,"[0, 24, 8, 32]",64
"[14, 10, 20, 16]",4,4,"[12, 8, 20, 16]",64
"[5, 25, 11, 31]",4,4,"[4, 24, 12, 32]",64
"[4, 20, 10, 26]",4,4,"[4, 20, 12, 28]",64
"[14, 11, 20, 17]",3,3,"[12, 8, 20, 24]",128
"[16, 12, 22, 18]",4,4,"[16, 12, 24, 20]",64
"[16, 16, 22, 22]",4,4,"[16, 16, 24, 24]",64
"[1, 18, 7, 24]",4,4,"[0, 16, 8, 24]",64
"[2, 21, 8, 27]",4,4,"[0, 20, 8, 28]",64
"[25, 25, 31, 31]",4,4,"[24, 24, 32, 32]",64
"[16, 24, 22, 30]",4,4,"[16, 24, 24, 32]",64
"[19, 2, 25, 8]",2,2,"[16, 0, 32, 16]",256
"[23, 13, 29, 19]",2,2,"[16, 8, 32, 24]",256
"[24, 6, 30, 12]",4,4,"[24, 4, 32, 12]",64
"[9, 17, 15, 23]",4,4,"[8, 16, 16, 24]",64
"[19, 13, 25, 19]",2,2,"[16, 8, 32, 24]",256
"[26, 15, 32, 21]",3,3,"[24, 8, 32, 24]",128
"[25, 12, 31, 18]",4,4,"[24, 12, 32, 20]",64
"[19, 18, 25, 24]",2,2,"[16, 8, 32, 24]",256
"[7, 25, 13, 31]",2,2,"[0, 16, 16, 32]",256
"[0, 21, 6, 27]",4,4,"[0, 20, 8, 28]",64
"[0, 23, 6, 29]",3,3,"[0, 16, 8, 32]",128
"[5, 9, 11, 15]",4,4,"[4, 8, 12, 16]",64
"[16, 18, 22, 24]",4,4,"[16, 16, 24, 24]",64
"[8, 10, 14, 16]",4,4,"[8, 8, 16, 16]",64
"[2, 15, 8, 21]",3,3,"[0, 8, 8, 24]",128
"[8, 26, 14, 32]",4,4,"[8, 24, 16, 32]",64
"[9, 24, 15, 30]",4,4,"[8, 24, 16, 32]",64
"[13, 12, 19, 18]",4,4,"[12, 12, 20, 20]",64
"[25, 12, 31, 18]",4,4,"[24, 12, 32, 20]",64
"[1, 5, 7, 11]",4,4,"[0, 4, 8, 12]",64
"[20, 4, 26, 10]",4,4,"[20, 4, 28, 12]",64
"[7, 9, 13, 15]",2,2,"[0, 8, 16, 24]",256
"[23, 26, 29, 32]",2,2,"[16, 16, 32, 32]",256
"[10, 1, 16, 7]",4,4,"[8, 0, 16, 8]",64
"[1, 15, 7, 21]",3,3,"[0, 8, 8, 24]",128
"[13, 4, 19, 10]",4,4,"[12, 4, 20, 12]",64
"[15, 19, 21, 25]",2,2,"[8, 16, 24, 32]",256
"[22, 2, 28, 8]",4,4,"[20, 0, 28, 8]",64
"[21, 22, 27, 28]",4,4,"[20, 20, 28, 28]",64
"[4, 25, 10, 31]",4,4,"[4, 24, 12, 32]",64
"[11, 13, 17, 19]",2,2,"[8, 8, 24, 24]",256
"[1, 19, 7, 25]",3,3,"[0, 16, 8, 32]",128
"[14, 12, 20, 18]",4,4,"[12, 12, 20, 20]",64
"[14, 1, 20, 7]",4,4,"[12, 0, 20, 8]",64
"[3, 15, 9, 21]",2,2,"[0, 8, 16, 24]",256
"[24, 4, 30, 10]",4,4,"[24, 4, 32, 12]",64
"[0, 1, 6, 7]",4,4,"[0, 0, 8, 8]",64
"[19, 19, 25, 25]",2,2,"[16, 16, 32, 32]",256
"[4, 20, 10, 26]",4,4,"[4, 20, 12, 28]",64
"[10, 3, 16, 9]",3,3,"[8, 0, 16, 16]",128
"[22, 17, 28, 23]",4,4,"[20, 16, 28, 24]",64
"[20, 11, 26, 17]",3,3,"[20, 8, 28, 24]",128
"[6, 12, 12, 18]",4,4,"[4, 12, 12, 20]",64
"[25, 24, 31, 30]",4,4,"[24, 24, 32, 32]",64
"[24, 15, 30, 21]",3,3,"[24, 8, 32, 24]",128
"[3, 1, 9, 7]",2,2,"[0, 0, 16, 16]",256
"[19, 22, 25, 28]",2,2,"[16, 16, 32, 32]",256
"[14, 19, 20, 25]",3,3,"[12, 16, 20, 32]",128
"[20, 10, 26, 16]",4,4,"[20, 8, 28, 16]",64
"[20, 3, 26, 9]",3,3,"[20, 0, 28, 16]",128
"[21, 22, 27, 28]",4,4,"[20, 20, 28, 28]",64
"[19, 9, 25, 15]",2,2,"[16, 8, 32, 24]",256
"[25, 4, 31, 10]",4,4,"[24, 4, 32, 12]",64
"[12, 25, 18, 31]",4,4,"[12, 24, 20, 32]",64
"[9, 23, 15, 29]",3,3,"[8, 16, 16, 32]",128
"[21, 25, 27, 31]",4,4,"[20, 24, 28, 32]",64
"[3, 16, 9, 22]",2,2,"[0, 8, 16, 24]",256
"[25, 6, 31, 12]",4,4,"[24, 4, 32, 12]",64
"[1, 25, 7, 31]",4,4,"[0, 24, 8, 32]",64
"[12, 14, 18, 20]",4,4,"[12, 12, 20, 20]",64
"[11, 24, 17, 30]",2,2,"[8, 16, 24, 32]",256
"[6, 14, 12, 20]",4,4,"[4, 12, 12, 20]",64
"[11, 25, 17, 31]",2,2,"[8, 16, 24, 32]",256
"[20, 2, 26, 8]",4,4,"[20, 0, 28, 8]",64
"[1, 1, 7, 7]",4,4,"[0, 0, 8, 8]",64
"[15, 8, 21, 14]",2,2,"[8, 8, 24, 24]",256
"[0, 16, 6, 22]",4,4,"[0, 16, 8, 24]",64
"[21, 18, 27, 24]",4,4,"[20, 16, 28, 24]",64
"[18, 6, 24, 12]",4,4,"[16, 4, 24, 12]",64
"[7, 2, 13, 8]",2,2,"[0, 0, 16, 16]",256
"[24, 26, 30, 32]",4,4,"[24, 24, 32, 32]",64
"[20, 24, 26, 30]",4,4,"[20, 24, 28, 32]",64
"[16, 22, 22, 28]",4,4,"[16, 20, 24, 28]",64
"[16, 13, 22, 19]",4,4,"[16, 12, 24, 20]",64
"[16, 9, 22, 15]",4,4,"[16, 8, 24, 16]",64
"[3, 4, 9, 10]",2,2,"[0, 0, 16, 16]",256
"[13, 18, 19, 24]",4,4,"[12, 16, 20, 24]",64
"[13, 2, 19, 8]",4,4,"[12, 0, 20, 8]",64
"[3, 13, 9, 19]",2,2,"[0, 8, 16, 24]",256
"[2, 3, 8, 9]",3,3,"[0, 0, 8, 16]",128
"[13, 24, 19, 30]",4,4,"[12, 24, 20, 32]",64
