SRC_random Query: Small,Depth,BBoxes,Data Size
"[15, 0, 16, 1]",6,"[14, 0, 16, 2]",4
"[6, 6, 7, 7]",6,"[6, 5, 8, 7]",4
"[8, 9, 9, 10]",6,"[8, 9, 10, 11]",4
"[11, 2, 12, 3]",6,"[10, 2, 12, 4]",4
"[9, 4, 10, 5]",6,"[9, 4, 11, 6]",4
"[11, 6, 12, 7]",6,"[10, 6, 12, 8]",4
"[4, 14, 5, 15]",6,"[4, 14, 6, 16]",4
"[4, 4, 5, 5]",6,"[4, 4, 6, 6]",4
"[14, 13, 15, 14]",6,"[13, 13, 15, 15]",4
"[3, 3, 4, 4]",6,"[2, 2, 4, 4]",4
"[8, 8, 9, 9]",6,"[8, 8, 10, 10]",4
"[7, 0, 8, 1]",6,"[6, 0, 8, 2]",4
"[3, 8, 4, 9]",6,"[3, 8, 5, 10]",4
"[2, 4, 3, 5]",6,"[2, 4, 4, 6]",4
"[12, 0, 13, 1]",6,"[11, 0, 13, 2]",4
"[6, 14, 7, 15]",6,"[6, 14, 8, 16]",4
"[12, 6, 13, 7]",6,"[12, 6, 14, 8]",4
"[9, 2, 10, 3]",6,"[9, 2, 11, 4]",4
"[1, 9, 2, 10]",6,"[0, 9, 2, 11]",4
"[3, 12, 4, 13]",6,"[3, 12, 5, 14]",4
"[4, 15, 5, 16]",6,"[4, 14, 6, 16]",4
"[3, 0, 4, 1]",6,"[3, 0, 5, 2]",4
"[4, 3, 5, 4]",6,"[4, 3, 6, 5]",4
"[13, 13, 14, 14]",6,"[12, 12, 14, 14]",4
"[3, 0, 4, 1]",6,"[2, 0, 4, 2]",4
"[1, 9, 2, 10]",6,"[1, 8, 3, 10]",4
"[4, 0, 5, 1]",6,"[4, 0, 6, 2]",4
"[11, 14, 12, 15]",6,"[10, 13, 12, 15]",4
"[0, 3, 1, 4]",6,"[0, 2, 2, 4]",4
"[3, 9, 4, 10]",6,"[2, 8, 4, 10]",4
"[5, 14, 6, 15]",6,"[5, 13, 7, 15]",4
"[3, 3, 4, 4]",6,"[3, 2, 5, 4]",4
"[7, 14, 8, 15]",6,"[7, 13, 9, 15]",4
"[9, 11, 10, 12]",6,"[9, 11, 11, 13]",4
"[5, 5, 6, 6]",6,"[5, 5, 7, 7]",4
"[9, 7, 10, 8]",6,"[8, 6, 10, 8]",4
"[10, 4, 11, 5]",6,"[10, 4, 12, 6]",4
"[0, 6, 1, 7]",6,"[0, 6, 2, 8]",4
"[8, 6, 9, 7]",6,"[8, 6, 10, 8]",4
"[6, 9, 7, 10]",6,"[6, 8, 8, 10]",4
"[11, 12, 12, 13]",6,"[10, 12, 12, 14]",4
"[0, 13, 1, 14]",6,"[0, 13, 2, 15]",4
"[9, 15, 10, 16]",6,"[9, 14, 11, 16]",4
"[13, 14, 14, 15]",6,"[12, 13, 14, 15]",4
"[12, 0, 13, 1]",6,"[11, 0, 13, 2]",4
"[5, 1, 6, 2]",6,"[4, 0, 6, 2]",4
"[9, 12, 10, 13]",6,"[9, 11, 11, 13]",4
"[3, 3, 4, 4]",6,"[3, 2, 5, 4]",4
"[8, 10, 9, 11]",6,"[8, 10, 10, 12]",4
"[9, 6, 10, 7]",6,"[8, 5, 10, 7]",4
"[11, 0, 12, 1]",6,"[10, 0, 12, 2]",4
"[4, 5, 5, 6]",6,"[4, 4, 6, 6]",4
"[2, 2, 3, 3]",6,"[2, 2, 4, 4]",4
"[3, 15, 4, 16]",6,"[2, 14, 4, 16]",4
"[4, 2, 5, 3]",6,"[4, 2, 6, 4]",4
"[12, 9, 13, 10]",6,"[12, 9, 14, 11]",4
"[11, 11, 12, 12]",6,"[10, 10, 12, 12]",4
"[4, 5, 5, 6]",6,"[4, 5, 6, 7]",4
"[4, 1, 5, 2]",6,"[4, 1, 6, 3]",4
"[4, 8, 5, 9]",6,"[4, 8, 6, 10]",4
"[3, 8, 4, 9]",6,"[2, 8, 4, 10]",4
"[1, 13, 2, 14]",6,"[1, 12, 3, 14]",4
"[10, 13, 11, 14]",6,"[10, 12, 12, 14]",4
"[3, 5, 4, 6]",6,"[2, 4, 4, 6]",4
"[8, 0, 9, 1]",6,"[8, 0, 10, 2]",4
"[6, 1, 7, 2]",6,"[6, 1, 8, 3]",4
"[3, 0, 4, 1]",6,"[2, 0, 4, 2]",4
"[0, 6, 1, 7]",6,"[0, 6, 2, 8]",4
"[12, 14, 13, 15]",6,"[11, 14, 13, 16]",4
"[5, 3, 6, 4]",6,"[4, 3, 6, 5]",4
"[10, 13, 11, 14]",6,"[10, 13, 12, 15]",4
"[8, 9, 9, 10]",6,"[8, 8, 10, 10]",4
"[13, 1, 14, 2]",6,"[12, 0, 14, 2]",4
"[15, 12, 16, 13]",6,"[14, 12, 16, 14]",4
"[11, 6, 12, 7]",6,"[10, 5, 12, 7]",4
"[14, 4, 15, 5]",6,"[14, 4, 16, 6]",4
"[15, 10, 16, 11]",6,"[14, 9, 16, 11]",4
"[9, 4, 10, 5]",6,"[8, 4, 10, 6]",4
"[0, 15, 1, 16]",6,"[0, 14, 2, 16]",4
"[8, 2, 9, 3]",6,"[8, 2, 10, 4]",4
"[10, 3, 11, 4]",6,"[10, 2, 12, 4]",4
"[0, 15, 1, 16]",6,"[0, 14, 2, 16]",4
"[15, 13, 16, 14]",6,"[14, 13, 16, 15]",4
"[6, 8, 7, 9]",6,"[6, 8, 8, 10]",4
"[14, 10, 15, 11]",6,"[14, 9, 16, 11]",4
"[15, 4, 16, 5]",6,"[14, 4, 16, 6]",4
"[5, 8, 6, 9]",6,"[5, 8, 7, 10]",4
"[9, 10, 10, 11]",6,"[8, 9, 10, 11]",4
"[15, 7, 16, 8]",6,"[14, 6, 16, 8]",4
"[12, 14, 13, 15]",6,"[11, 13, 13, 15]",4
"[3, 12, 4, 13]",6,"[2, 12, 4, 14]",4
"[12, 5, 13, 6]",6,"[12, 5, 14, 7]",4
"[5, 5, 6, 6]",6,"[4, 5, 6, 7]",4
"[13, 9, 14, 10]",6,"[12, 9, 14, 11]",4
"[7, 7, 8, 8]",6,"[6, 6, 8, 8]",4
"[7, 3, 8, 4]",6,"[6, 2, 8, 4]",4
"[10, 15, 11, 16]",6,"[10, 14, 12, 16]",4
"[3, 9, 4, 10]",6,"[2, 8, 4, 10]",4
"[13, 10, 14, 11]",6,"[12, 9, 14, 11]",4
