SRC_random Query: Large,Depth,BBoxes,Data Size
"[10, 5, 19, 14]",2,"[8, 0, 24, 16]",256
"[18, 2, 27, 11]",2,"[16, 0, 32, 16]",256
"[3, 17, 12, 26]",2,"[0, 16, 16, 32]",256
"[18, 9, 27, 18]",2,"[16, 8, 32, 24]",256
"[5, 12, 14, 21]",2,"[0, 8, 16, 24]",256
"[4, 4, 13, 13]",2,"[0, 0, 16, 16]",256
"[7, 10, 16, 19]",2,"[0, 8, 16, 24]",256
"[16, 7, 25, 16]",2,"[16, 0, 32, 16]",256
"[7, 5, 16, 14]",2,"[0, 0, 16, 16]",256
"[9, 11, 18, 20]",2,"[8, 8, 24, 24]",256
"[13, 21, 22, 30]",2,"[8, 16, 24, 32]",256
"[1, 4, 10, 13]",2,"[0, 0, 16, 16]",256
"[19, 0, 28, 9]",2,"[16, 0, 32, 16]",256
"[12, 2, 21, 11]",2,"[8, 0, 24, 16]",256
"[22, 2, 31, 11]",2,"[16, 0, 32, 16]",256
"[4, 13, 13, 22]",2,"[0, 8, 16, 24]",256
"[9, 17, 18, 26]",2,"[8, 16, 24, 32]",256
"[13, 23, 22, 32]",2,"[8, 16, 24, 32]",256
"[4, 18, 13, 27]",2,"[0, 16, 16, 32]",256
"[13, 9, 22, 18]",2,"[8, 8, 24, 24]",256
"[20, 11, 29, 20]",2,"[16, 8, 32, 24]",256
"[2, 7, 11, 16]",2,"[0, 0, 16, 16]",256
"[14, 20, 23, 29]",2,"[8, 16, 24, 32]",256
"[11, 20, 20, 29]",2,"[8, 16, 24, 32]",256
"[16, 1, 25, 10]",2,"[16, 0, 32, 16]",256
"[12, 13, 21, 22]",2,"[8, 8, 24, 24]",256
"[0, 13, 9, 22]",2,"[0, 8, 16, 24]",256
"[23, 10, 32, 19]",2,"[16, 8, 32, 24]",256
"[14, 6, 23, 15]",2,"[8, 0, 24, 16]",256
"[11, 9, 20, 18]",2,"[8, 8, 24, 24]",256
"[15, 2, 24, 11]",2,"[8, 0, 24, 16]",256
"[5, 3, 14, 12]",2,"[0, 0, 16, 16]",256
"[8, 3, 17, 12]",2,"[8, 0, 24, 16]",256
"[17, 19, 26, 28]",2,"[16, 16, 32, 32]",256
"[22, 4, 31, 13]",2,"[16, 0, 32, 16]",256
"[22, 14, 31, 23]",2,"[16, 8, 32, 24]",256
"[12, 5, 21, 14]",2,"[8, 0, 24, 16]",256
"[13, 13, 22, 22]",2,"[8, 8, 24, 24]",256
"[5, 7, 14, 16]",2,"[0, 0, 16, 16]",256
"[14, 10, 23, 19]",2,"[8, 8, 24, 24]",256
"[16, 4, 25, 13]",2,"[16, 0, 32, 16]",256
"[11, 14, 20, 23]",2,"[8, 8, 24, 24]",256
"[20, 20, 29, 29]",2,"[16, 16, 32, 32]",256
"[2, 15, 11, 24]",2,"[0, 8, 16, 24]",256
"[6, 9, 15, 18]",2,"[0, 8, 16, 24]",256
"[0, 22, 9, 31]",2,"[0, 16, 16, 32]",256
