,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
256,1123,2631,1508,2.3428317008014248,42.68339034587609,3
257,894,2631,1737,2.942953020134228,33.97947548460662,3
258,41,1316,1275,32.09756097560975,3.115501519756839,4
259,666,5262,4596,7.900900900900901,12.656784492588368,2
260,636,1316,680,2.069182389937107,48.328267477203646,4
261,736,5262,4526,7.149456521739131,13.987077156974534,2
262,902,2631,1729,2.9168514412416853,34.28354237932345,3
263,647,2631,1984,4.06646058732612,24.59141011022425,3
264,125,5262,5137,42.096,2.375522614975295,2
265,0,657,657,inf,0.0,5
266,288,5262,4974,18.270833333333332,5.473204104903079,2
267,50,1316,1266,26.32,3.7993920972644375,4
268,1028,5262,4234,5.118677042801556,19.53629798555682,2
269,1193,5262,4069,4.410729253981559,22.671987837324213,2
270,0,1316,1316,inf,0.0,4
271,745,5262,4517,7.063087248322148,14.158114785252756,2
272,0,1316,1316,inf,0.0,4
273,701,2631,1930,3.75320970042796,26.643861649562904,3
274,783,1315,532,1.6794380587484037,59.543726235741445,4
275,891,10524,9633,11.811447811447811,8.46636259977195,1
276,1275,10524,9249,8.254117647058823,12.115165336374002,1
277,777,2631,1854,3.386100386100386,29.532497149372862,3
278,1030,5262,4232,5.1087378640776695,19.574306347396426,2
279,239,1315,1076,5.502092050209205,18.17490494296578,4
280,424,2631,2207,6.205188679245283,16.115545419992397,3
281,0,1315,1315,inf,0.0,4
282,556,1316,760,2.366906474820144,42.24924012158054,4
283,0,329,329,inf,0.0,6
284,963,5262,4299,5.464174454828661,18.30102622576967,2
285,0,5262,5262,inf,0.0,2
286,774,2631,1857,3.39922480620155,29.418472063854047,3
287,536,2631,2095,4.9085820895522385,20.372481946028127,3
288,1115,2631,1516,2.359641255605381,42.37932345115926,3
289,335,5262,4927,15.707462686567164,6.366400608133789,2
290,1016,10524,9508,10.358267716535433,9.654123907259597,1
291,1305,10524,9219,8.064367816091954,12.400228050171037,1
292,1159,5262,4103,4.540120793787748,22.025845686050932,2
293,0,2,2,inf,0.0,13
294,573,5262,4689,9.18324607329843,10.88939566704675,2
295,0,329,329,inf,0.0,6
296,323,2631,2308,8.145510835913313,12.276700874192322,3
297,1267,2631,1364,2.0765588003157065,48.156594450779174,3
298,0,328,328,inf,0.0,6
299,516,1315,799,2.548449612403101,39.239543726235745,4
300,0,82,82,inf,0.0,8
301,0,1316,1316,inf,0.0,4
302,387,1316,929,3.400516795865633,29.407294832826747,4
303,921,1316,395,1.4288816503800217,69.98480243161094,4
304,0,328,328,inf,0.0,6
305,132,5262,5130,39.86363636363637,2.508551881413911,2
306,949,10524,9575,11.089567966280296,9.017483846446218,1
307,1080,2631,1551,2.436111111111111,41.04903078677309,3
308,722,2631,1909,3.64404432132964,27.4420372481946,3
309,502,5262,4760,10.48207171314741,9.540098821740784,2
310,566,2631,2065,4.648409893992933,21.512732801216266,3
311,174,658,484,3.781609195402299,26.443768996960486,5
312,0,1316,1316,inf,0.0,4
313,1018,2631,1613,2.5844793713163066,38.69251235271759,3
314,0,5262,5262,inf,0.0,2
315,254,5262,5008,20.716535433070867,4.827061953629799,2
316,0,1316,1316,inf,0.0,4
317,262,1316,1054,5.022900763358779,19.908814589665656,4
318,547,5262,4715,9.619744058500913,10.39528696313189,2
319,0,2,2,inf,0.0,13
320,0,5262,5262,inf,0.0,2
321,378,658,280,1.7407407407407407,57.446808510638306,5
322,720,5262,4542,7.308333333333334,13.683010262257698,2
323,878,2631,1753,2.996583143507973,33.37134169517294,3
324,0,5262,5262,inf,0.0,2
325,2041,5262,3221,2.5781479666829985,38.78753325731661,2
326,17,328,311,19.294117647058822,5.182926829268292,6
327,0,5262,5262,inf,0.0,2
328,971,2631,1660,2.709577754891864,36.906119346256176,3
329,852,5262,4410,6.176056338028169,16.191562143671607,2
330,154,1316,1162,8.545454545454545,11.702127659574469,4
331,0,1315,1315,inf,0.0,4
