,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
102,0,5262,5262,inf,2,0.0
103,0,5262,5262,inf,2,0.0
104,0,1315,1315,inf,4,0.0
105,628,10524,9896,16.75796178343949,1,5.96731280881794
106,1107,21048,19941,19.013550135501355,0,5.259407069555302
107,1198,21048,19850,17.569282136894824,0,5.691752185480806
108,0,164,164,inf,7,0.0
109,131,21048,20917,160.67175572519085,0,0.6223869251235272
110,896,21048,20152,23.491071428571427,0,4.2569365260357275
111,2248,21048,18800,9.362989323843417,0,10.680349676928923
112,2046,5262,3216,2.5718475073313782,2,38.88255416191562
113,334,21048,20714,63.01796407185629,0,1.586849106803497
114,97,5262,5165,54.24742268041237,2,1.8434055492208286
115,0,5262,5262,inf,2,0.0
116,1711,10524,8813,6.150789012273524,1,16.258076776890917
117,136,5262,5126,38.69117647058823,2,2.5845686050931205
118,2838,10524,7686,3.708245243128964,1,26.966932725199545
119,1512,21048,19536,13.920634920634921,0,7.183580387685291
120,2357,21048,18691,8.929995757318625,0,11.198213606993539
121,2700,10524,7824,3.897777777777778,1,25.65564424173318
122,1706,21048,19342,12.337631887456038,0,8.105283162295706
123,643,10524,9881,16.367029548989112,1,6.109844165716457
124,947,5262,4315,5.55649419218585,2,17.99695933105283
125,886,1315,429,1.4841986455981941,4,67.3764258555133
126,1532,21048,19516,13.738903394255875,0,7.278601292284302
127,810,21048,20238,25.985185185185184,0,3.848346636259977
128,0,5262,5262,inf,2,0.0
129,1254,5262,4008,4.196172248803828,2,23.831242873432153
130,783,5262,4479,6.7203065134099615,2,14.880273660205246
131,20,21048,21028,1052.4,0,0.09502090459901177
132,1799,5262,3463,2.9249583101723178,2,34.18852147472444
133,1372,5262,3890,3.8352769679300294,2,26.073736221968836
134,2155,21048,18893,9.767053364269142,0,10.23850247054352
135,1694,5262,3568,3.106257378984652,2,32.19308247814519
136,548,21048,20500,38.40875912408759,0,2.603572786012923
137,1582,21048,19466,13.304677623261695,0,7.516153553781832
138,1103,21048,19945,19.082502266545784,0,5.2404028886355
139,1441,21048,19607,14.606523247744622,0,6.846256176358799
140,0,2,2,inf,13,0.0
141,946,1315,369,1.390063424947146,4,71.93916349809885
142,442,5262,4820,11.904977375565611,2,8.399847966552642
143,235,21048,20813,89.56595744680851,0,1.1164956290383883
144,1881,21048,19167,11.189792663476874,0,8.936716077537058
145,2441,21048,18607,8.622695616550594,0,11.597301406309388
146,361,21048,20687,58.30470914127424,0,1.7151273280121626
147,0,2,2,inf,13,0.0
148,2791,10524,7733,3.770691508419921,1,26.52033447358419
149,1786,21048,19262,11.784994400895856,0,8.485366780691752
150,1395,2631,1236,1.886021505376344,3,53.02166476624858
151,1313,5262,3949,4.007616146230007,2,24.952489547700495
152,74,5262,5188,71.10810810810811,2,1.4063093880653743
153,1558,10524,8966,6.754813863928113,1,14.804256936526036
154,687,10524,9837,15.318777292576419,1,6.5279361459521095
155,1159,5262,4103,4.540120793787748,2,22.025845686050932
156,929,21048,20119,22.656620021528525,0,4.413721018624097
157,562,5262,4700,9.362989323843417,2,10.680349676928923
158,1643,21048,19405,12.810712111990261,0,7.805967312808818
159,524,2631,2107,5.020992366412214,3,19.91638160395287
160,1350,5262,3912,3.897777777777778,2,25.65564424173318
161,447,21048,20601,47.08724832214765,0,2.1237172177879136
162,31,5262,5231,169.74193548387098,2,0.589129608513873
163,0,5262,5262,inf,2,0.0
164,743,2631,1888,3.541049798115747,3,28.240212846826303
165,192,21048,20856,109.625,0,0.9122006841505131
166,621,2631,2010,4.236714975845411,3,23.603192702394526
167,1190,10524,9334,8.843697478991597,1,11.307487647282402
168,454,21048,20594,46.36123348017621,0,2.1569745343975675
169,172,5262,5090,30.593023255813954,2,3.2687191182060054
170,176,1315,1139,7.471590909090909,4,13.38403041825095
171,2694,5262,2568,1.953229398663697,2,51.197263397947545
172,1954,5262,3308,2.692937563971341,2,37.1341695172938
173,783,21048,20265,26.881226053639846,0,3.7200684150513115
