,BBOX,Depth,parent
205,"[4, 4, 8, 8]",4,"[<__main__.DAGTree object at 0x0000021CEA1FDDF0>, <__main__.DAGTree object at 0x0000021CEA5FA3F0>]"
206,"[4, 4, 6, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B50>, <__main__.DAGTree object at 0x0000021CEA5F9FA0>]"
207,"[4, 4, 6, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D60>, <__main__.DAGTree object at 0x0000021CEA5F9E80>]"
208,"[4, 5, 6, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9E80>]
209,"[4, 6, 6, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E80>, <__main__.DAGTree object at 0x0000021CEA5FA8A0>]"
210,"[5, 4, 7, 8]",5,[<__main__.DAGTree object at 0x0000021CEA5F9FA0>]
211,"[5, 4, 7, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA180>, <__main__.DAGTree object at 0x0000021CEA5FA2A0>]"
212,"[5, 5, 7, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5FA2A0>]
213,"[5, 6, 7, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA2A0>, <__main__.DAGTree object at 0x0000021CEA5FAB10>]"
214,"[6, 4, 8, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9FA0>, <__main__.DAGTree object at 0x0000021CEA5FB860>]"
