BRC Query: Medium,Points,Num Of Points
"[209275, 40758, 302506, 133989]",[],0
"[93992, 344177, 187223, 219328]",[],0
"[74869, 133396, 168100, 219328]",[],0
"[158633, 183242, 251864, 219328]","[(249218, 208706), (243245, 219327)]",2
"[37229, 26956, 130460, 120187]","[(60551, 27192), (53468, 27679), (59032, 35658), (42096, 38413), (50806, 40774), (45785, 56718), (37985, 59118), (59458, 97155), (91686, 32602), (98740, 33456), (105291, 33531), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (72803, 67715)]",16
"[260472, 227199, 353703, 219328]",[],0
"[81991, 265978, 175222, 219328]",[],0
"[323720, 50909, 416951, 144140]",[],0
"[361247, 374435, 454478, 219328]",[],0
"[87480, 193071, 180711, 219328]",[],0
"[223672, 26561, 316903, 119792]",[],0
"[328861, 252581, 422092, 219328]",[],0
"[210850, 248703, 304081, 219328]",[],0
"[32775, 61322, 126006, 154553]","[(59458, 97155), (72803, 67715)]",2
"[254998, 87477, 348229, 180708]",[],0
"[18722, 25138, 111953, 118369]","[(40142, 26381), (60551, 27192), (33518, 27430), (53468, 27679), (59032, 35658), (42096, 38413), (50806, 40774), (45785, 56718), (37985, 59118), (59458, 97155), (85915, 25965), (111501, 26612), (91686, 32602), (98740, 33456), (105291, 33531), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (72803, 67715)]",20
"[321798, 331812, 415029, 219328]",[],0
"[77691, 338400, 170922, 219328]",[],0
"[177939, 63320, 271170, 156551]","[(182621, 142145)]",1
"[375160, 296026, 468391, 219328]",[],0
"[348375, 189870, 441606, 219328]",[],0
"[110339, 209136, 203570, 219328]",[],0
"[265185, 66311, 358416, 159542]",[],0
"[39658, 327995, 132889, 219328]",[],0
"[375547, 253058, 468778, 219328]",[],0
"[330203, 339630, 423434, 219328]",[],0
"[185255, 349151, 278486, 219328]",[],0
"[73298, 365959, 166529, 219328]",[],0
"[334243, 163508, 427474, 219328]",[],0
"[74758, 211354, 167989, 219328]",[],0
"[162154, 365160, 255385, 219328]",[],0
"[71845, 280226, 165076, 219328]",[],0
"[107274, 28136, 200505, 121367]","[(145935, 34939), (110575, 36221), (181333, 62750)]",3
"[213651, 241204, 306882, 219328]",[],0
"[202932, 107982, 296163, 201213]",[],0
"[246914, 195053, 340145, 219328]","[(249218, 208706)]",1
"[339474, 47616, 432705, 140847]",[],0
"[31521, 29078, 124752, 122309]","[(59032, 35658), (42096, 38413), (50806, 40774), (45785, 56718), (37985, 59118), (59458, 97155), (91686, 32602), (98740, 33456), (105291, 33531), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (72803, 67715)]",14
"[263007, 142012, 356238, 219328]",[],0
"[22092, 280779, 115323, 219328]",[],0
"[357560, 306571, 450791, 219328]",[],0
"[307903, 121352, 401134, 214583]",[],0
"[128522, 57125, 221753, 150356]","[(181333, 62750), (200563, 62770), (182621, 142145)]",3
"[337069, 271526, 430300, 219328]",[],0
"[374333, 282692, 467564, 219328]",[],0
"[228376, 273986, 321607, 219328]",[],0
"[168188, 67594, 261419, 160825]","[(182621, 142145)]",1
"[84500, 231448, 177731, 219328]",[],0
"[304870, 229396, 398101, 219328]",[],0
"[52173, 63043, 145404, 156274]","[(59458, 97155), (72803, 67715)]",2
"[226032, 41106, 319263, 134337]",[],0
"[60132, 225781, 153363, 219328]",[],0
"[89988, 24213, 183219, 117444]","[(111501, 26612), (91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (181333, 62750)]",10
"[242326, 234130, 335557, 219328]",[],0
"[367997, 226755, 461228, 219328]",[],0
"[23916, 268491, 117147, 219328]",[],0
"[178247, 140544, 271478, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[49293, 192930, 142524, 219328]",[],0
"[44989, 71754, 138220, 164985]","[(59458, 97155)]",1
"[196469, 370806, 289700, 219328]",[],0
"[23519, 189229, 116750, 219328]",[],0
"[190505, 101391, 283736, 194622]",[],0
"[13341, 128961, 106572, 219328]",[],0
"[199902, 45088, 293133, 138319]","[(200563, 62770)]",1
